,0
passaportafogl,1
paol,853
diment,5
portafogl,6
su,59
tax,1
tassist,1
lo,89
riport,3
in,540
azi,153
posizion,4
scomod,1
silv,285
riman,10
con,293
man,16
incastr,9
nell,34
macchinett,30
del,178
caff,56
sfid,35
luc,789
si,322
a,720
bracc,4
di,1358
ferr,3
per,537
stabil,1
chi,43
due,42
andrà,1
vacanz,11
gai,80
incontr,20
box,4
iscritt,3
torne,6
dev,82
andre,64
vend,33
dipendent,103
tem,10
che,420
laz,35
poss,10
esser,83
fatt,36
cronac,1
digitex,37
è,248
vittim,11
killer,2
divert,9
ad,76
avvelen,1
grand,18
uffic,78
ha,192
nuov,93
molt,31
più,53
rub,40
de,163
marinis,162
patt,254
fa,87
bell,17
vorrebb,2
affid,16
alla,83
chirurg,3
estet,2
quiz,5
radiofon,4
stat,38
selezion,5
graz,11
al,110
qual,38
potrebb,6
vinc,17
1,1
000,1
eur,5
esam,1
urin,4
sottoporr,1
allesam,1
camion,2
brutt,16
discussion,4
licenz,36
vorrebber,1
dar,12
dimission,5
paranoi,3
gir,19
voc,11
qualcun,20
sti,10
pidocc,2
cos,35
fai,3
staser,1
discut,14
impegn,6
seral,1
port,65
lincident,2
tampon,3
macchin,26
lalf,6
rome,12
non,208
sap,14
ilar,78
look,5
vuol,99
camb,15
pension,11
dinvalid,2
mal,20
convinc,46
gonf,1
legger,1
problem,25
prend,50
gest,14
fatal,3
cerc,127
interpret,3
colleg,116
pes,2
anna,76
alex,129
parl,17
pront,3
soccors,5
sent,14
appen,13
promess,4
rapport,8
sarebber,1
riallacc,1
salv,8
reinser,1
arriv,47
excarcer,1
ci,12
son,35
affezion,1
fin,35
accorg,13
pedal,1
venditor,12
dell,144
gar,14
ciclism,1
allarm,5
antincend,1
rimang,2
blocc,7
durant,11
incend,2
cred,102
sia,49
unesercit,1
urna,1
unurn,1
funerar,1
poes,4
costrett,21
assist,3
allo,3
spettacol,2
teatral,1
mazzett,1
mughett,2
combatt,3
monopol,2
sul,18
psicofarmac,3
assum,11
tropp,12
preoccup,6
lei,39
amiciz,7
donn,33
puliz,10
cricet,2
giovann,48
da,190
accud,8
aaa,1
cercas,3
abbi,23
mess,6
annunc,5
erot,10
giornal,7
sogn,11
olmo,83
riesc,38
cre,11
programm,4
controll,5
tutt,128
gli,73
apparecc,2
informat,7
dellaz,65
bustarell,2
offre,11
commission,4
sicurezz,7
pann,3
lascensor,2
palazz,7
rott,5
pizz,5
vien,62
consegn,9
direttor,32
farc,2
manier,5
disgust,1
uccellin,2
scatt,7
fot,20
pos,3
assurd,2
fotograf,5
antrac,2
recapit,5
bust,4
contenent,2
mister,10
polverin,1
bianc,2
pens,25
immediat,4
panic,3
regal,42
personal,6
lunic,6
partecip,17
collett,13
buon,22
azion,3
ered,2
sold,16
anzian,5
cas,32
ripos,1
cui,21
cur,9
mett,29
test,36
far,131
stess,18
nott,17
tragic,1
vittor,27
prim,63
volt,17
compleann,16
organizz,67
fest,33
timer,2
jessic,27
install,10
bagn,29
imped,4
ai,48
perd,19
temp,24
fier,6
nel,58
grupp,4
scelt,7
lattesissim,1
trasfert,6
parig,6
smarr,7
trist,2
willy,1
cagnolin,2
tent,24
ritrov,12
fantasm,3
laere,1
viagg,13
precipit,1
cartomanz,1
divin,1
piscin,2
terren,1
concors,16
colp,33
suo,51
guai,1
combin,5
error,2
contabil,3
caus,22
ricev,29
1000000,1
ricc,6
dent,5
fort,4
giorn,51
scioper,10
daccord,7
unit,2
occup,9
dai,10
decid,71
aiut,52
poliz,3
stan,2
cinefil,1
realizz,11
filmin,1
amant,11
torcicoll,3
transgen,1
dubb,7
sull,27
qualit,5
cib,5
serv,6
mens,7
aziendal,49
stand,1
andar,20
cont,15
tratt,18
fotocop,5
cernier,5
pantalon,6
vuot,2
memor,2
abbord,1
torn,12
ricord,19
les,1
ser,29
complott,2
contr,19
omonim,2
simpatizz,1
bitt,11
merc,4
internazional,2
final,17
occasion,3
infatt,2
ester,2
corn,2
lassistent,1
trasloc,1
trasfer,6
testimon,5
favor,8
incident,9
automobilist,3
selvaggin,1
cen,14
cacc,8
shock,1
invest,9
alfa,10
zia,7
domen,2
lavor,66
lament,5
allung,2
vit,25
legg,17
second,17
recent,1
stud,2
guard,17
bel,2
sen,3
lott,11
polit,7
fann,26
val,1
propr,27
opinion,2
gen,3
calcol,5
scopr,83
mental,1
armon,1
valer,25
separ,2
losp,1
puzzol,1
titt,3
sorell,6
eman,1
odor,1
best,4
seller,2
pipp,47
propos,2
moment,9
scabros,1
romanz,3
propost,4
indecent,2
gioc,40
monet,9
canestr,1
tir,5
bicchierin,5
lett,9
sembr,15
insoddisfatt,2
vendic,9
mascher,4
affianc,3
sindacal,10
pit,1
bull,1
piet,4
soppress,1
aver,60
aggred,1
cacciator,1
avvicin,1
person,12
interess,4
offrirgl,1
epidem,1
bisogn,7
linventar,2
fam,2
protest,9
rimozion,4
past,6
vann,7
ben,8
sosten,2
abbuff,2
davant,7
lui,49
nemic,5
amic,35
depress,9
consol,1
pesc,9
dapril,4
magg,1
ritorn,15
vecc,30
deb,7
violett,2
unam,7
va,34
trov,73
saun,2
trasform,4
schi,1
ormon,1
pastigl,1
abbass,2
viril,4
quadraton,2
lalpin,1
fidanz,22
alpin,1
gelos,17
segreter,2
telefon,11
critic,4
altri,5
liposu,2
sottopors,1
matric,1
protagon,6
matrix,1
cinem,3
amatorial,2
vide,9
halloween,3
festegg,8
trann,3
consider,6
stupid,6
pooh,21
veng,12
testimonial,1
stann,2
firm,13
contratt,25
settim,1
ciel,1
fogl,4
mort,14
blu,6
situazion,8
invent,10
terribil,5
malatt,4
sett,4
invit,32
mag,3
arganell,1
raccogl,7
bambin,18
pover,6
pianet,1
tèranis,1
mang,9
scrocc,1
marc,6
figl,43
spazzin,1
elezion,3
poltron,9
sindac,7
cervell,3
dellaltr,1
fantastic,1
possibil,7
unaltr,6
cappell,3
einstein,2
compr,17
scritt,9
sopr,2
facc,9
intelligent,1
shalom,1
fing,27
ebre,1
lindovinell,1
riusc,13
risolv,8
indovinell,3
settiman,11
preved,5
concert,5
compless,7
edip,2
stagist,17
wand,48
superenalott,2
vint,6
diciottenn,1
follement,2
innamor,22
ringraz,4
avergl,1
concess,1
venerd,4
pomerigg,3
liber,11
badant,1
moniqu,2
penn,13
modell,2
appunt,14
stang,1
allester,2
bimb,2
ragazz,34
promettent,1
sped,4
dir,10
no,6
insegn,10
dic,12
manifest,3
concorrt,2
sfidant,1
post,34
president,31
vigil,6
antiterror,2
mostr,9
misur,2
lanniversar,1
10º,1
anniversar,2
tossicoman,1
disc,7
riguard,13
tossicodipendt,1
alta,1
tension,1
scherz,30
mand,8
paperissim,1
ritorc,2
letter,20
ricerc,4
scooter,3
passagg,5
accompagn,8
present,18
pallin,1
antistress,1
stress,5
ne,25
pag,7
consegut,4
poker,4
pipin,1
catt,6
consigl,19
madr,13
dispett,1
sullincapac,1
solidariet,2
dop,40
sorpres,13
cestin,3
spazzatur,6
poverissim,1
tesor,3
ogni,6
anno,1
chiud,6
fiss,1
scatol,2
assolut,6
contien,2
pulcin,1
minacc,9
denunc,5
questultim,14
picc,13
caramell,2
pasticc,4
viagr,1
udit,1
temporan,1
semisord,1
sfog,5
vest,14
pass,29
brindis,4
daument,1
aument,10
stipend,5
stregoner,1
divent,36
impotent,1
tang,3
frequent,4
cors,17
pratic,20
dall,26
equivoc,5
uom,16
viss,1
costring,8
prest,18
telef,5
cellul,15
chiam,8
numer,18
copp,8
spos,9
karaok,2
pregiudiz,2
vad,3
ramb,1
conosct,4
cinematograf,2
piccol,10
ricuc,1
strapp,5
cool,1
walkman,2
gay,7
chied,62
furt,7
prefer,4
piccion,4
fer,10
gatt,12
marylin,7
curriculum,4
ladr,8
giur,3
risc,8
accus,6
lag,3
clandestin,9
tra,34
gall,1
daut,1
sorpr,2
pacemaker,1
infart,2
centralin,3
prov,25
sostitu,8
tub,1
catod,1
television,4
scommett,11
almen,3
dur,2
cartellin,1
ross,7
azzopp,1
declin,1
respons,5
fortunatissim,1
convint,22
50000,1
iniz,15
dars,1
shopping,2
sfren,1
re,2
regin,1
ribell,1
inversion,1
ruol,13
mogl,13
scamb,18
gattin,2
randag,2
medic,7
visit,1
fint,6
aut,7
coller,2
realt,11
trucc,6
coragg,7
smett,3
ber,4
domand,3
rispost,5
dibatt,1
import,19
iell,1
portaiell,1
giacc,4
lasc,18
scrivan,2
assent,3
rovesc,1
sui,10
campion,2
cinguett,2
insol,2
are,35
relax,59
cap,30
dov,12
proveng,1
ricatt,10
parrocc,1
truff,8
sott,7
fals,12
nom,13
rinfresc,3
cibar,1
provenit,1
sorvegl,2
domest,1
rumen,1
babysitter,3
souven,1
degitt,1
arrest,1
egitt,1
strateg,3
amor,6
conquist,13
ricchissim,1
vant,2
tast,1
richiam,1
sess,6
acquist,11
viet,2
fum,6
pett,1
battagl,4
seduzion,5
dà,12
sedurr,4
cris,10
matrimonial,2
redd,2
poi,10
pazz,2
volant,1
virtual,5
imbottigl,2
incominc,2
grapp,5
illegal,2
malcontent,1
social,4
scontent,1
fond,4
nomin,3
rappresent,6
scuol,8
commerc,1
brad,15
comp,12
diffusion,1
interf,1
donazion,1
dorgan,1
incit,1
don,4
organ,1
istint,1
patern,2
rivel,17
rimast,7
incint,11
intromett,2
po,8
priv,4
mission,2
imposs,3
spi,13
segret,10
intim,7
pers,12
palloncin,2
tass,1
dalcolem,1
sporc,8
cadav,1
dellare,4
gross,3
cattur,2
leon,1
scapp,3
zoo,1
nipot,10
mirell,1
autist,3
ment,6
fraint,5
diffond,7
notiz,7
promozion,6
dramm,1
coniugal,2
elettroshock,2
terrorizz,4
difend,4
pagliacc,2
rif,6
scoz,1
lezion,10
sullamor,1
lhandicapp,1
disabil,5
passion,1
senil,1
cost,4
azzurr,1
conosc,15
cert,5
brigitt,1
censur,2
videotec,1
lart,1
direzion,3
saprebb,1
megl,5
massagg,3
panc,1
raffreddor,4
cavall,1
dann,10
poter,14
otten,19
banc,5
camper,19
spacc,3
collateral,2
parchegg,8
regol,6
controllor,1
estern,1
bilanc,6
francoboll,2
incoll,2
300,1
jackpot,1
pugn,2
sput,1
monetin,1
lamic,9
campegg,1
franc,2
colloqu,7
proibizion,1
può,9
introdurr,1
dellalcol,1
circol,2
sport,4
entrar,7
esclus,3
sol,27
ved,17
costum,6
hann,25
insiem,26
iniezion,1
cortison,1
ten,3
unimport,4
relazion,6
finestr,4
front,7
biond,1
sta,23
fac,16
lamor,5
col,11
osservator,1
success,6
corrispondt,1
teppist,1
assunt,9
ex,12
deten,1
bac,6
ping,2
pong,2
flagranz,1
reat,1
dvd,2
porn,2
previst,3
ricompens,3
ciec,5
riconosc,5
club,3
scambist,2
scettic,1
spiritual,3
jonathan,14
gioved,2
15,2
anni,18
sfortun,5
quel,4
conclud,4
documentar,5
vist,8
maestr,4
mar,36
kar,3
fargl,5
pell,5
sistem,7
vot,3
scienz,2
omosessual,4
tratten,1
avev,4
cart,7
scopert,10
afferm,2
impar,3
tre,8
tentat,2
arricc,2
laccompagn,1
prestig,4
petizion,3
lare,9
improvvis,12
zon,2
fumator,1
divis,4
impon,3
adess,3
bast,1
drog,1
dastint,1
incontroll,3
bollett,2
pun,1
ball,7
piatt,1
pranz,4
altro,4
nostalg,1
accord,3
presid,1
potr,3
libr,12
not,11
largoment,1
que,1
ideolog,1
omert,1
paur,8
crimin,1
sè,6
entusiast,2
dellide,1
dichiar,3
matrimon,15
ripar,9
enric,4
tecnic,9
bungiul,1
baston,1
ritien,6
magic,7
can,13
adott,2
lobby,1
alcol,2
disintossic,2
dallalcol,2
lochett,1
emorroid,1
ed,22
usar,8
salvagent,1
sed,8
allinfern,1
dirigent,11
sopravviss,2
vudù,2
comand,1
membr,2
bambol,1
casablanc,2
sangu,2
sush,1
ordin,8
ristor,5
cines,17
tagl,9
drastic,1
spes,6
portatil,3
dimostr,8
abil,3
attir,2
rend,4
colesterol,2
alto,1
disintoss,1
trascorr,1
famigl,8
accett,6
ripens,1
uscir,13
6,2
mes,13
ripart,1
londr,2
accorc,1
toluss,3
malumor,1
infastid,2
umor,4
mattin,1
mod,30
forzat,1
gentil,3
simpat,4
bomb,6
orologer,1
pen,1
infortun,4
avut,5
mezz,6
citt,4
pubblic,2
unic,4
masc,4
linv,1
hard,1
russ,2
cortegg,5
internet,7
esager,1
mai,11
rintracc,2
qualcos,7
stort,2
elettron,4
dia,1
scommess,14
indovin,1
dallascensor,3
toller,1
zer,1
oggett,8
allucin,1
sbagl,12
fung,1
allucinogen,1
part,31
dellital,1
nazional,3
lorar,3
duffic,4
americ,2
tirocin,1
negl,4
chiar,11
aspett,6
miglior,17
benefict,5
usan,3
zomb,2
ner,10
scen,2
film,11
horror,1
guast,4
alloper,2
rimed,6
lorganigramm,1
litig,19
evit,7
tifos,2
sfegat,2
fall,2
squadr,6
calc,5
paesin,2
delluffic,12
classif,1
color,14
orolog,3
prepar,17
psicolog,5
serg,6
eventual,2
femminil,8
scribacchin,1
scriv,11
sexy,5
rivist,11
stran,9
modern,4
chiav,2
stradal,2
polon,1
pur,6
filial,3
polacc,2
vis,12
sottopost,2
pecc,2
robert,13
ipnos,1
ipnotizz,1
bombolett,1
spray,2
antiaggression,1
tunis,1
senz,18
averl,4
patent,4
darl,2
elis,1
valigett,2
conteng,1
ident,3
sullamiciz,1
linserzion,1
list,4
sched,2
medit,2
creat,2
mi,2
hai,4
tel,1
lhann,1
mitoman,1
sub,14
paracadut,2
nerv,4
fior,6
sicur,3
alle,14
pres,11
paradoss,1
temporal,1
parol,13
signor,10
golf,2
dirigt,3
sopprim,1
pierluig,2
vogl,35
pubblicitar,2
famosissim,1
copywriter,1
campagn,1
tett,2
pier,1
barbon,1
viv,4
nei,8
dintorn,1
impieg,16
titol,1
process,1
omicid,1
topolin,1
infest,1
top,1
afas,2
signific,5
alluvion,2
unalluvion,1
ospital,2
amnes,1
dal,20
disoccup,1
piomb,1
ostagg,3
addi,3
emma,10
rived,2
stagion,1
stavolt,1
consulent,2
finanz,4
segn,3
condott,1
sospett,21
trad,11
veceshky,1
custod,2
unoper,2
dart,4
lappunt,2
fuor,7
spieg,5
funzion,1
aeroport,1
laeroport,1
psicoshow,1
nasc,1
regression,1
bott,1
regred,1
allet,1
roland,2
garros,2
2,3
bigliett,6
andarc,3
oscen,1
uomin,6
tal,8
padr,9
tatuagg,2
retr,1
attacc,1
lherpes,1
labial,1
cultur,2
selvagg,1
pacc,4
angher,1
famos,4
ganasc,2
futur,7
imprenditor,1
impres,1
funeral,7
lady,1
sugl,2
sci,1
bob,1
poll,1
rad,5
pettegolezz,4
adozion,1
distanz,2
trophy,2
prestigiosissim,1
paparazz,2
deput,1
compromettent,7
vamp,1
sping,4
fars,27
mobbing,3
reality,4
show,4
giust,8
p4,1
contend,6
bagagl,1
cultural,1
accultur,1
presenz,2
rinnov,3
lent,4
contatt,7
canor,3
quint,1
component,1
deterrent,2
usa,4
hast,1
revoluciòn,1
incentiv,1
cappottin,1
rovist,1
pacif,2
brevett,1
perfett,7
ditt,3
pian,9
caratterist,1
delluom,1
fueg,3
renault,2
linguagg,2
client,45
rimprover,1
lutt,1
muor,5
ritratt,1
monic,2
cugin,6
erbe,3
aromat,2
nat,2
assomigl,1
miopethon,1
maraton,1
scontr,1
titan,2
sandrin,1
ver,8
lun,3
laltr,6
serviz,3
calendar,4
demitizz,1
fan,5
emozionatissim,1
raccont,18
lesperit,1
rivuol,1
cuor,3
umanitar,3
afric,1
luffic,7
ampli,1
ingelos,6
fresc,1
laur,1
comun,6
redig,2
giornalin,1
prezz,5
prostit,3
tangent,1
nonn,6
daustral,1
stor,2
strappalacrim,2
mannar,2
pot,4
lup,2
verit,4
sincer,4
stupefacent,1
capolavor,1
conflitt,2
lov,2
story,1
insemin,3
artificial,3
donator,1
lincontr,1
pittur,3
cuoc,4
questionar,4
distribu,2
valut,2
bas,2
jump,1
millant,1
provett,1
sempr,8
paracad,1
lanc,4
davver,4
televend,2
rivend,1
anell,7
succed,5
tant,6
lanzian,2
produttor,1
disposizion,2
location,1
lesaur,1
stanc,3
annoi,2
vendes,1
demetr,2
fax,3
invi,3
importantissim,1
allontan,1
ginnast,1
ritmic,1
gossip,1
barbar,1
chiappin,1
videotelef,1
sciarp,2
avversar,2
pallavol,1
dassunzion,1
ostacol,1
candid,9
pap,3
compres,2
permess,3
allippodrom,1
dialog,2
sord,1
promoss,2
central,1
rosellin,1
mestruazion,1
compagn,9
class,4
maniac,2
anonim,7
ansim,1
farl,13
farn,1
sar,7
spir,5
sopravvivt,1
formenter,1
rafforz,1
iscriv,4
agli,6
corr,1
espress,1
pony,1
express,1
obblig,7
propon,6
esper,4
molest,3
maschil,1
discors,5
affin,1
astrolog,1
allastrolog,1
capricorn,1
feromon,2
gran,4
danzant,1
presidenzial,1
assiem,2
analis,2
semplic,3
mor,3
ludov,2
mond,9
sponsorizz,2
espon,1
quadr,4
dipint,2
proz,1
salt,15
suicid,9
vicin,2
version,1
orgasm,1
soddisf,3
sessual,4
assistent,2
zoofil,2
confond,1
zoolog,1
question,6
princip,1
ricors,1
tribunal,1
seminar,3
segu,13
reciproc,2
offend,2
weekend,7
damor,5
marocc,1
marketing,1
netturbin,1
allest,1
commercial,1
scus,6
salon,1
riduzion,1
budget,3
rivolu,1
distributr,1
preserv,1
depression,1
contag,1
ivo,1
lorecchin,1
orecchin,1
ciald,1
invec,4
pagin,2
ufo,1
guerr,7
div,3
lalber,1
garegg,2
alber,1
natal,17
babb,5
nud,5
televis,7
impacchett,1
imperson,1
augur,2
giudic,1
corromp,2
garant,1
rispett,2
loredan,4
gratif,1
nataliz,2
persin,2
meccan,1
sopport,2
soprattutt,1
aliment,1
natale1,1
impietos,1
capodann,5
anno2,1
lennesim,2
delusion,1
sentimental,1
lesbic,1
sorris,3
ultim,5
sorrident,1
pomp,3
disastr,1
lestintor,1
debb,2
damer,1
ospit,2
giustiz,2
te,2
gioventù,1
ritragg,3
cominc,1
download,1
avvis,2
fil,7
pc,1
attend,3
risult,4
dellaids,1
prosciutt,1
stratagemm,4
2000,1
pirobaz,1
carbon,1
ardent,2
lisol,1
tentazion,1
provin,3
genitor,1
ideal,3
laffid,1
dottor,3
cestell,3
super,4
mon,1
piant,6
carnivor,2
cantin,1
incaric,5
prelev,1
vin,2
null,4
mezzogiorn,1
fuoc,3
decis,4
rifug,2
antiatom,2
sa,14
scegl,7
divid,2
emergt,3
tort,3
pesant,3
pien,7
sonnifer,1
intercett,2
loper,2
oper,6
renal,1
spavent,4
trem,1
malasan,1
bioterror,1
ammal,2
dover,4
svolg,4
vendett,4
danes,1
sfratt,1
imborghes,2
essers,2
sald,2
valig,2
abit,3
conten,1
allintern,1
caten,2
dellumil,1
cad,3
santanton,1
umil,1
svar,1
nonost,3
dissuad,2
carit,1
raccolt,2
usat,1
istit,1
brufol,3
cresc,5
enorm,3
sgonf,1
ritocc,2
computer,6
scarp,10
onlin,1
fertil,1
iposperm,1
cabaret,2
allen,1
esib,1
ingles,4
lingles,1
waterg,1
baby,4
monitor,3
agenz,1
solitar,3
unagenz,1
indimentic,1
colpevol,4
infur,1
ancor,3
lordin,1
mater,1
pupazzett,2
desider,3
step,1
tonic,1
aerob,1
proletar,1
traditor,2
andat,7
terror,1
ciò,8
deprim,2
calciatric,1
sulles,1
caric,1
riprend,2
var,3
fas,1
videocamer,4
controfigur,1
gua,2
cal,1
personagg,4
dit,2
fat,2
metod,6
intend,4
sciatic,1
sparg,3
verr,2
tac,1
bellissim,1
capr,1
espiator,1
partenz,2
nad,7
plac,1
acque,1
giovan,7
carrier,4
malafed,1
mult,5
anselm,10
lasciugacapell,1
phon,1
imbianchin,1
ridiping,1
abbronz,2
visibil,1
occhi,8
scopp,3
occhiolin,1
tic,3
nutrizional,1
appassion,3
panin,3
bar,5
lell,6
gliel,1
bui,2
esce,2
star,4
esprim,1
par,3
uninterv,4
coinvolg,4
giraff,1
lotter,2
rifil,6
giad,1
blanck,1
alit,2
lal,1
hot,1
climatizz,1
fredd,1
pol,1
cald,2
torrid,1
denud,1
piercing,1
gomm,3
ero,4
involontar,4
vecchiett,3
budell,6
settecervell,1
piranh,2
bad,1
uccid,3
prestam,1
età,1
centesim,1
richied,1
alquant,3
precis,2
division,1
precedent,5
prem,16
cretin,4
figuracc,1
vip,1
nientemen,1
flav,1
vent,4
invidiosissim,1
biancher,4
banconot,2
50,2
cyclett,2
lacqu,1
approfitt,13
dellasst,4
pistol,3
acqua,1
prix,1
competizion,3
pilot,1
picchiator,3
sit,1
ingagg,3
sfortunat,3
chat,5
ferm,1
guid,10
laut,3
spiegazion,1
rivolg,3
apert,4
lid,1
rassegn,3
freccett,2
barzellett,6
difficolt,5
cant,9
istitu,2
estrem,1
diamant,2
richiest,2
ari,3
cucciol,1
attenzion,2
anatroccol,1
string,3
curios,2
buc,2
sfrutt,5
nobil,1
essern,1
mamm,8
essa,2
conced,2
scem,4
claud,1
svel,2
rest,6
form,4
provinc,4
noiosissim,3
comunqu,2
frances,4
commett,1
gaff,5
dietr,2
stranier,3
ital,3
copul,2
fidanzatin,1
18,1
discrezion,1
tuttav,16
sfigur,1
dor,1
avant,3
rimbors,4
amat,2
soltant,5
purtropp,3
unalf,4
sann,2
aprir,2
esatt,2
volp,2
imbalsam,2
occhial,3
vesp,3
abbandon,6
fugg,2
indi,1
clinic,2
psichiatr,1
lamant,2
magazzin,5
minorenn,1
scandal,1
laperit,2
posticip,1
affront,2
libert,2
fratell,5
linfluenz,2
quas,3
teodor,1
messagg,6
avend,2
li,5
gust,3
meteoropat,2
mosc,1
ven,4
malmen,1
commissar,1
restitu,4
ombrellai,1
ombrell,3
affitt,1
alfist,2
croll,2
addoss,1
dellart,1
comit,1
artist,2
dimezz,1
effettu,3
percors,2
provoc,4
particolar,2
pignor,2
ufficial,2
giudiziar,1
giung,2
fenomenal,1
calciator,2
predestin,1
sort,1
accan,1
punt,7
g,2
storic,6
period,3
rob,1
fra,2
scaramucc,1
istruzion,1
bisticc,1
sens,1
rabbiasens,1
stanz,4
unorganizz,1
ridott,1
annull,1
azzer,1
stip,1
nervos,4
videoregistr,1
pescar,1
automobil,2
moltissim,2
registr,2
videocassett,1
arterioscler,2
